[INFO][cal.go:93]2021/05/02 19:58:17 [剩余钱：71.860242, 剩余币：29.895000, 订单中的钱：13.907100, 订单中的币：0.000000, 如果现在平仓盈利：1.000946, 币价格涨幅：0.989460]
[INFO][cal.go:93]2021/05/02 21:05:34 [剩余钱：67.103742, 剩余币：29.892000, 订单中的钱：13.907100, 订单中的币：3.000000, 如果现在平仓盈利：1.002953, 币价格涨幅：0.983714]
[INFO][cal.go:93]2021/05/02 21:39:21 [剩余钱：62.380842, 剩余币：32.889000, 订单中的钱：13.907100, 订单中的币：3.000000, 如果现在平仓盈利：1.000383, 币价格涨幅：0.990089]
[INFO][cal.go:93]2021/05/02 23:37:24 [剩余钱：62.380842, 剩余币：35.886000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.997481, 币价格涨幅：0.996802]
[INFO][cal.go:93]2021/05/02 23:49:07 [剩余钱：62.409419, 剩余币：32.886000, 订单中的钱：13.906500, 订单中的币：3.000000, 如果现在平仓盈利：1.000964, 币价格涨幅：0.989146]
[INFO][cal.go:93]2021/05/03 02:54:48 [剩余钱：67.162061, 剩余币：29.886000, 订单中的钱：13.906500, 订单中的币：3.000000, 如果现在平仓盈利：1.003713, 币价格涨幅：0.982722]
[INFO][cal.go:93]2021/05/03 04:48:04 [剩余钱：71.947971, 剩余币：29.886000, 订单中的钱：13.906500, 订单中的币：0.000000, 如果现在平仓盈利：1.006427, 币价格涨幅：0.975891]
[INFO][cal.go:93]2021/05/03 04:49:06 [剩余钱：76.734180, 剩余币：26.886000, 订单中的钱：13.906500, 订单中的币：0.000000, 如果现在平仓盈利：1.006515, 币价格涨幅：0.975524]
[INFO][cal.go:93]2021/05/03 05:17:48 [剩余钱：71.977380, 剩余币：29.883000, 订单中的钱：13.906500, 订单中的币：0.000000, 如果现在平仓盈利：1.003483, 币价格涨幅：0.984460]
[INFO][cal.go:93]2021/05/03 05:56:41 [剩余钱：67.254480, 剩余币：32.880000, 订单中的钱：13.906500, 订单中的币：0.000000, 如果现在平仓盈利：1.001489, 币价格涨幅：0.989900]
[INFO][cal.go:93]2021/05/03 06:16:42 [剩余钱：67.254480, 剩余币：35.877000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：0.998541, 币价格涨幅：0.997312]
[INFO][cal.go:93]2021/05/03 06:17:42 [剩余钱：62.566680, 剩余币：38.874000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：0.996836, 币价格涨幅：1.000963]
[INFO][cal.go:93]2021/05/03 06:44:44 [剩余钱：57.911880, 剩余币：38.871000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.995218, 币价格涨幅：1.004447]
[INFO][cal.go:93]2021/05/03 07:02:28 [剩余钱：53.257380, 剩余币：41.868000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.995081, 币价格涨幅：1.004642]
[INFO][cal.go:93]2021/05/03 07:54:47 [剩余钱：57.940192, 剩余币：41.868000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：0.998866, 币价格涨幅：0.997376]
[INFO][cal.go:93]2021/05/03 07:55:47 [剩余钱：62.623005, 剩余币：38.868000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：0.999123, 币价格涨幅：0.996738]
[INFO][cal.go:93]2021/05/03 08:18:34 [剩余钱：67.339084, 剩余币：35.868000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.002667, 币价格涨幅：0.988895]
[INFO][cal.go:93]2021/05/03 09:09:49 [剩余钱：72.089329, 剩余币：32.868000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.005090, 币价格涨幅：0.983218]
[INFO][cal.go:93]2021/05/03 09:36:49 [剩余钱：67.367929, 剩余币：35.865000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.002227, 币价格涨幅：0.990341]
[INFO][cal.go:93]2021/05/03 09:46:08 [剩余钱：72.118174, 剩余币：32.865000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.005445, 币价格涨幅：0.982784]
[INFO][cal.go:93]2021/05/03 10:00:39 [剩余钱：76.902585, 剩余币：29.865000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.008621, 币价格涨幅：0.974670]
[INFO][cal.go:93]2021/05/03 10:09:23 [剩余钱：72.147585, 剩余币：32.862000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.005458, 币价格涨幅：0.983218]
[INFO][cal.go:93]2021/05/03 12:32:19 [剩余钱：76.931096, 剩余币：29.862000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.008282, 币价格涨幅：0.976074]
[INFO][cal.go:93]2021/05/03 12:34:30 [剩余钱：81.748474, 剩余币：26.862000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.011627, 币价格涨幅：0.966689]
[INFO][cal.go:93]2021/05/03 12:51:20 [剩余钱：76.927774, 剩余币：26.859000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.010538, 币价格涨幅：0.969818]
[INFO][cal.go:93]2021/05/03 13:28:37 [剩余钱：86.629063, 剩余币：23.859000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.013165, 币价格涨幅：0.962569]
[INFO][cal.go:93]2021/05/03 14:01:31 [剩余钱：81.808663, 剩余币：26.856000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.010935, 币价格涨幅：0.969878]
[INFO][cal.go:93]2021/05/03 16:10:07 [剩余钱：76.987363, 剩余币：26.853000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.010825, 币价格涨幅：0.970059]
[INFO][cal.go:93]2021/05/03 17:06:24 [剩余钱：72.201163, 剩余币：29.850000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.007747, 币价格涨幅：0.978157]
[INFO][cal.go:93]2021/05/03 17:31:17 [剩余钱：72.229677, 剩余币：26.850000, 订单中的钱：13.969500, 订单中的币：3.000000, 如果现在平仓盈利：1.008231, 币价格涨幅：0.976870]
[INFO][cal.go:93]2021/05/03 17:59:01 [剩余钱：72.229677, 剩余币：29.847000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.005625, 币价格涨幅：0.983900]
[INFO][cal.go:93]2021/05/03 18:44:26 [剩余钱：67.477977, 剩余币：32.844000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.005400, 币价格涨幅：0.984336]
[INFO][cal.go:93]2021/05/03 19:24:05 [剩余钱：72.259691, 剩余币：29.844000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.008735, 币价格涨幅：0.976625]
[INFO][cal.go:93]2021/05/03 20:33:18 [剩余钱：67.506791, 剩余币：32.841000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.005743, 币价格涨幅：0.983963]
[INFO][cal.go:93]2021/05/03 21:40:29 [剩余钱：62.790791, 剩余币：35.838000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：1.002316, 币价格涨幅：0.991790]
[INFO][cal.go:93]2021/05/03 21:50:55 [剩余钱：58.108391, 剩余币：38.835000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.994670, 币价格涨幅：1.007760]
[INFO][cal.go:93]2021/05/03 21:51:56 [剩余钱：53.469191, 剩余币：47.826000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.986221, 币价格涨幅：1.022975]
[INFO][cal.go:93]2021/05/03 21:54:07 [剩余钱：53.518566, 剩余币：44.826000, 订单中的钱：4.570200, 订单中的币：3.000000, 如果现在平仓盈利：0.993079, 币价格涨幅：1.011029]
[INFO][cal.go:93]2021/05/03 22:16:36 [剩余钱：58.170510, 剩余币：41.826000, 订单中的钱：4.570200, 订单中的币：3.000000, 如果现在平仓盈利：0.998388, 币价格涨幅：1.001221]
[INFO][cal.go:93]2021/05/03 22:50:43 [剩余钱：62.855121, 剩余币：38.826000, 订单中的钱：4.570200, 订单中的币：3.000000, 如果现在平仓盈利：1.001274, 币价格涨幅：0.995592]
[INFO][cal.go:93]2021/05/03 23:59:30 [剩余钱：58.200321, 剩余币：41.823000, 订单中的钱：4.570200, 订单中的币：3.000000, 如果现在平仓盈利：0.996922, 币价格涨幅：1.004383]
[INFO][cal.go:93]2021/05/04 00:10:34 [剩余钱：53.583021, 剩余币：44.820000, 订单中的钱：4.570200, 订单中的币：3.000000, 如果现在平仓盈利：0.992666, 币价格涨幅：1.012540]
[INFO][cal.go:93]2021/05/04 00:17:28 [剩余钱：53.611103, 剩余币：41.820000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：0.993579, 币价格涨幅：1.010701]
[INFO][cal.go:93]2021/05/04 00:35:08 [剩余钱：58.256453, 剩余币：38.820000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：0.996909, 币价格涨幅：1.004124]
[INFO][cal.go:93]2021/05/04 00:45:27 [剩余钱：62.938366, 剩余币：35.820000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：1.000146, 币价格涨幅：0.997440]
[INFO][cal.go:93]2021/05/04 01:12:54 [剩余钱：67.653846, 剩余币：32.820000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：1.003328, 币价格涨幅：0.990467]
[INFO][cal.go:93]2021/05/04 01:38:26 [剩余钱：72.402593, 剩余币：29.820000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：1.006461, 币价格涨幅：0.983094]
[INFO][cal.go:93]2021/05/04 02:29:30 [剩余钱：67.682393, 剩余币：32.817000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：1.003508, 币价格涨幅：0.990467]
[INFO][cal.go:93]2021/05/04 03:01:08 [剩余钱：62.995793, 剩余币：35.814000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：1.000275, 币价格涨幅：0.997951]
[INFO][cal.go:93]2021/05/04 03:26:10 [剩余钱：63.023807, 剩余币：32.814000, 订单中的钱：13.808400, 订单中的币：3.000000, 如果现在平仓盈利：1.000410, 币价格涨幅：0.997568]
[INFO][cal.go:93]2021/05/04 04:32:25 [剩余钱：63.023807, 剩余币：35.811000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：0.995508, 币价格涨幅：1.008869]
[INFO][cal.go:93]2021/05/04 04:33:43 [剩余钱：58.389707, 剩余币：38.808000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：0.995474, 币价格涨幅：1.008869]
[INFO][cal.go:93]2021/05/04 04:40:05 [剩余钱：58.418073, 剩余币：35.808000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.995407, 币价格涨幅：1.008934]
[INFO][cal.go:93]2021/05/04 04:47:21 [剩余钱：63.079906, 剩余币：32.808000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.999584, 币价格涨幅：0.999423]
[INFO][cal.go:93]2021/05/04 05:10:46 [剩余钱：58.446406, 剩余币：35.805000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.995527, 币价格涨幅：1.009065]
[INFO][cal.go:93]2021/05/04 06:02:52 [剩余钱：63.117231, 剩余币：32.805000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.999722, 币价格涨幅：0.999679]
[INFO][cal.go:93]2021/05/04 06:19:33 [剩余钱：58.475331, 剩余币：35.802000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.996529, 币价格涨幅：1.007239]
[INFO][cal.go:93]2021/05/04 06:49:00 [剩余钱：63.145256, 剩余币：32.802000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：1.000195, 币价格涨幅：0.998974]
[INFO][cal.go:93]2021/05/04 06:57:05 [剩余钱：67.850546, 剩余币：29.802000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：1.002857, 币价格涨幅：0.992611]
[INFO][cal.go:93]2021/05/04 07:20:53 [剩余钱：63.176546, 剩余币：32.799000, 订单中的钱：13.755900, 订单中的币：3.000000, 如果现在平仓盈利：0.999559, 币价格涨幅：1.000963]
[INFO][cal.go:93]2021/05/04 08:06:24 [剩余钱：58.536146, 剩余币：38.793000, 订单中的钱：9.155100, 订单中的币：3.000000, 如果现在平仓盈利：0.991774, 币价格涨幅：1.018562]
[INFO][cal.go:93]2021/05/04 08:07:28 [剩余钱：53.946146, 剩余币：47.784000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.985047, 币价格涨幅：1.030552]
[INFO][cal.go:93]2021/05/04 08:08:57 [剩余钱：49.409546, 剩余币：50.781000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.984769, 币价格涨幅：1.030961]
[INFO][cal.go:93]2021/05/04 08:11:07 [剩余钱：53.975176, 剩余币：47.781000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.989669, 币价格涨幅：1.022706]
[INFO][cal.go:93]2021/05/04 08:31:33 [剩余钱：49.437076, 剩余币：50.778000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.985388, 币价格涨幅：1.030211]
[INFO][cal.go:93]2021/05/04 08:34:11 [剩余钱：44.961076, 剩余币：53.775000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.976882, 币价格涨幅：1.044644]
[INFO][cal.go:93]2021/05/04 08:39:18 [剩余钱：49.464968, 剩余币：50.775000, 订单中的钱：0.000000, 订单中的币：3.000000, 如果现在平仓盈利：0.982485, 币价格涨幅：1.035413]
